,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,0.7692307692307693,0.6,0.2,0.2857142857142857,0.0,0.6,0.370989010989011,0.5769230769230769
recall,0.9375,0.2727272727272727,0.14285714285714285,0.2857142857142857,0.0,0.6,0.32775974025974025,0.6
f1-score,0.8450704225352113,0.375,0.16666666666666666,0.2857142857142857,0.0,0.6,0.3344902749832327,0.5722320031298904
support,32.0,11.0,7.0,7.0,3.0,0.6,60.0,60.0
